VOLKSWAGEN GOLF 7 BVA 2019 JANTES 18’’,63000 km,01-2019,13.06.2021,Compacte,Essence,6 CV,Automatique,Traction,Noir,71 499 DT
JAGUAR XE 2.0 DIÈSEL KIT R SPORT,34500 km,01-2018,13.06.2021,Berline,Diesel,9 CV,Automatique,Traction,Bleu,169 000 DT
MERCEDES-BENZ CLASSE E COUPÉ KIT AMG DOSSIER LEASING,46000 km,06-2018,13.06.2021,Coupé,Essence,11 CV,Automatique,Traction,Noir,242 000 DT
PORSCHE CAYENNE PLATINIUM ÉDITION V6,47000 km,07-2017,13.06.2021,4 x 4,Essence,20 CV,Automatique,Intégrale,Noir,410 000 DT
MERCEDES-BENZ CLASSE S 350 KIT AMG,160000 km,04-2010,13.06.2021,Berline,Essence,18 CV,Automatique,Propulsion,Noir,138 500 DT
MG ZS MG. ZS,103000 km,01-2019,13.06.2021,Pick up,Essence,7 CV,Manuelle,Traction,Gris anthracite,56 500 DT
MAZDA 3 MAZDA 3 SKYACTIV HIGH GRADE,38000 km,04-2019,13.06.2021,Compacte,Essence,6 CV,Manuelle,Traction,Bleu,78 000 DT
BMW SÉRIE 3 BVA 2015,97000 km,05-2015,13.06.2021,Berline,Essence,7 CV,Automatique,Traction,Noir,79 000 DT
"MINI 5 PORTES 1,2 DOSSIER LEASING",57500 km,09-2016,13.06.2021,Compacte,Essence,5 CV,Automatique,Traction,Rouge,81 500 DT
"VOLKSWAGEN POLO SEDAN 1,4",132000 km,01-2015,13.06.2021,Berline,Essence,5 CV,Manuelle,Traction,Noir,29 500 DT
CITROËN C4,147000 km,07-2012,13.06.2021,Compacte,Diesel,6 CV,Manuelle,Traction,Gris anthracite,34 500 DT
KIA RIO 5P,111000 km,05-2014,13.06.2021,Compacte,Essence,5 CV,Manuelle,Traction,Noir,37 000 DT
BMW SÉRIE 5 NOUVELLE 520I KIT M,19000 km,07-2019,13.06.2021,Berline,Essence,10 CV,Automatique,Propulsion,Blanc,219 000 DT
VOLKSWAGEN GOLF 7 TSI-BLUE MOTION,89000 km,01-2015,13.06.2021,Berline,Essence,5 CV,Manuelle,Traction,Bleu,59 000 DT
FIAT 500 TOIT PANORAMIQUE,43000 km,05-2014,13.06.2021,Citadine,Essence,4 CV,Manuelle,Traction,Noir,32 500 DT
MERCEDES-BENZ CLASSE C 180 PACK AMG,117000 km,10-2014,13.06.2021,Utilitaire,Essence,8 CV,Automatique,Traction,Blanc,128 500 DT
MERCEDES-BENZ CLASSE E 200 KIT AMG IMPORTÉE D'ALLEMAGNE,102000 km,02-2017,13.06.2021,Berline,Essence,10 CV,Automatique,Propulsion,Blanc,225 000 DT
LAND ROVER RANGE ROVER EVOQUE PACK DYNAMIC FULL OPTION,179000 km,08-2017,13.06.2021,4 x 4,Diesel,8 CV,Automatique,Propulsion,Bleu,153 000 DT
LAND ROVER RANGE ROVER EVOQUE FULL OPTION,66000 km,08-2015,13.06.2021,4 x 4,Essence,8 CV,Automatique,Propulsion,Blanc,149 000 DT
PORSCHE CAYENNE S TU 223 SPORT (+),179000 km,10-2014,13.06.2021,4 x 4,Essence,31 CV,Automatique,Propulsion,Noir,305 000 DT
"MERCEDES-BENZ CLASSE E 180 "" MODÈLE 2019 """,102000 km,12-2018,13.06.2021,Berline,Essence,9 CV,Automatique,Propulsion,Noir,159 000 DT
PORSCHE MACAN SPORT + FULL OPTION,34000 km,08-2017,13.06.2021,4 x 4,Essence,16 CV,Automatique,Propulsion,Bleu,267 000 DT
MG HS LUXE BVA SUV 1.5 L,0 km,11-2020,13.06.2021,4 x 4,Essence,10 CV,Automatique,Propulsion,Bleu,99 950 DT
MERCEDES-BENZ GLA 180 FACELIFT PACK AMG,93000 km,10-2017,13.06.2021,4 x 4,Essence,8 CV,Automatique,Propulsion,Noir,122 000 DT
BMW X6 SERIE TU 223,148000 km,03-2015,13.06.2021,4 x 4,Diesel,16 CV,Automatique,Propulsion,Noir,245 000 DT
SEAT ATECA TDI KIT FR NEUVE 2.0 L,1000 km,11-2020,13.06.2021,4 x 4,Diesel,8 CV,Automatique,Traction,Blanc,139 000 DT
